"";"x"
"1";NA
"2";NA
"3";0.0272911416650317
"4";0.777604533457605
"5";0.480365118247349
"6";0.280682302771893
"7";-1.75735607675909
"8";-0.868702025586344
"9";0.260810536980742
"10";0.448081306990872
"11";-0.481081560283684
"12";0.253280141843987
"13";0.601019503546084
"14";0.817152408392417
"15";-0.0522957299053957
"16";-0.710438829787236
"17";-0.248226351351391
"18";-0.482265859609583
"19";0.196727195945925
"20";0.223216966966959
"21";-1.28733108108102
"22";0.277618243243225
"23";0.429729729729729
"24";-0.51173986486485
"25";0.307179054054018
"26";1.50236486486493
"27";-0.951013513513558
"28";0.440624999999969
"29";-1.01123310810809
"30";-0.885557432432421
"31";-0.0848817567567579
"32";1.59662162162159
"33";1.53505067567569
"34";3.66110842985843
"35";2.45641604614825
"36";-13.6148947971547
"37";NA
"38";NA
