"";"x"
"1";NA
"2";NA
"3";12.1779884744071
"4";-50.7301287276928
"5";-16.3746613949218
"6";107.101129630582
"7";55.2326339655649
"8";-47.1980294848795
"9";-50.8722679071229
"10";-22.2381526089537
"11";-10.4612218683083
"12";17.4652364608246
"13";20.0118965623033
"14";-19.9812743155023
"15";2.28933214457629
"16";24.1087255449204
"17";-37.1585407636426
"18";-38.57206598685
"19";-26.1355726358115
"20";28.4960597876031
"21";74.686824872507
"22";-21.6031079792626
"23";-44.9638737412813
"24";10.7979833886957
"25";-0.305824445094458
"26";0.138052065749434
"27";27.8709938513668
"28";34.9485436573402
"29";-59.1562948694643
"30";-20.7531870276507
"31";-4.69580517232066
"32";-46.4887913095254
"33";38.6355072496294
"34";-14.6247544739194
"35";-45.6645058009767
"36";-5.74963010006809
"37";NA
"38";NA
