"";"x"
"1";NA
"2";NA
"3";7.90397375
"4";-3.568705
"5";0.42467375
"6";-2.51539
"7";2.20152875
"8";1.17235875
"9";-1.23874875
"10";1.009475
"11";-0.48918
"12";-0.163095
"13";0.85959875
"14";-1.07794375
"15";1.09039
"16";1.23122125
"17";-3.1571075
"18";2.02332125
"19";-5.6711575
"20";4.660015
"21";1.09897125
"22";-3.05044125
"23";2.9191925
"24";-0.83387875
"25";-1.42117
"26";1.91717375
"27";1.61136875
"28";-3.46620125
"29";4.93591125
"30";-6.1271725
"31";-0.55163
"32";3.72014
"33";-0.5659175
"34";2.49689375
"35";-2.67637625
"36";-7.55109
"37";NA
"38";NA
